,SMA,average_return
182,The 184 sma,0.06495708640186226
183,The 185 sma,0.06647008042615488
184,The 186 sma,0.06701596433188528
185,The 187 sma,0.06650393646682651
186,The 188 sma,0.0666924127372861
187,The 189 sma,0.06816257700395734
188,The 190 sma,0.07021232032843416
189,The 191 sma,0.0702189832522857
190,The 192 sma,0.07110535882726476
191,The 193 sma,0.07151774572569769
192,The 194 sma,0.07161449041695622
193,The 195 sma,0.07039491159417643
194,The 196 sma,0.06973504285648313
195,The 197 sma,0.07046301996373683
196,The 198 sma,0.07007228545437183
197,The 199 sma,0.07030310441003507
198,The 200 sma,0.069703761237079
199,The 201 sma,0.07090185310423469
200,The 202 sma,0.06929363552052892
201,The 203 sma,0.06808755238963582
202,The 204 sma,0.0686585808432072
203,The 205 sma,0.07077606962480787
204,The 206 sma,0.07070826068681657
205,The 207 sma,0.06922960101849318
206,The 208 sma,0.07077476561883822
207,The 209 sma,0.07184591665979378
208,The 210 sma,0.07283047859362668
209,The 211 sma,0.07376380707753483
210,The 212 sma,0.07466308855597403
211,The 213 sma,0.07577482508285782
212,The 214 sma,0.07625993459001568
213,The 215 sma,0.07582983781669328
214,The 216 sma,0.07629153183463733
215,The 217 sma,0.07626747511808096
216,The 218 sma,0.07562002969976245
217,The 219 sma,0.07512887567570825
218,The 220 sma,0.07623382809638057
219,The 221 sma,0.07787922607490927
220,The 222 sma,0.07664158849375946
221,The 223 sma,0.07646532210202683
222,The 224 sma,0.07677537802298007
223,The 225 sma,0.07714885944821259
224,The 226 sma,0.07591391462877439
225,The 227 sma,0.07570392860230601
226,The 228 sma,0.07549159649186388
227,The 229 sma,0.07586514383078957
228,The 230 sma,0.07652937901867785
229,The 231 sma,0.0762823065170648
230,The 232 sma,0.0752719907373034
231,The 233 sma,0.07398685880317113
232,The 234 sma,0.07449705892737946
233,The 235 sma,0.0758811863820732
234,The 236 sma,0.07621799853560884
235,The 237 sma,0.07681320522624735
236,The 238 sma,0.0766885925223173
237,The 239 sma,0.07523979955900617
238,The 240 sma,0.07457983919802458
239,The 241 sma,0.07517029051118951
240,The 242 sma,0.07596002838240379
241,The 243 sma,0.0763179228191595
242,The 244 sma,0.07644008170140015
243,The 245 sma,0.07689119085928042
244,The 246 sma,0.07787550441606661
